Date,Category,Amount
2021-12-21,Food,239.0
2021-12-21,Food,25.0
2021-12-21,Food,18.0
2021-12-20,Food,80.0
2021-12-20,Transportation,80.0
2021-12-20,Food,20.0
2021-12-20,Food,20.0
2021-12-20,Food,85.0
2021-12-20,Food,40.0
2021-12-19,Other,100.0
2021-12-18,Other,100.0
2021-12-18,Other,200.0
2021-12-18,Food,113.0
2021-12-18,Social Life,363.72
2021-12-18,Food,160.0
2021-12-17,Food,70.0
2021-12-17,Food,110.0
2021-12-17,Other,50.0
2021-12-16,Food,30.0
2021-12-16,Food,20.0
2021-12-16,Food,30.0
2021-12-16,Food,110.0
2021-12-14,Food,40.0
2021-12-14,Food,75.0
2021-12-14,Food,80.0
2021-12-14,Food,74.0
2021-12-14,Food,65.0
2021-12-12,Food,25.0
2021-12-10,Food,241.0
2021-12-10,Food,195.0
2021-12-09,Food,40.0
2021-12-09,Food,280.0
2021-12-09,Food,25.0
2021-12-09,Food,110.0
2021-12-08,Food,100.0
2021-12-08,Food,1120.72
2021-12-08,Food,10.0
2021-12-07,Food,25.0
2021-12-07,Food,15.0
2021-12-06,Food,25.0
2021-12-06,Apparel,500.0
2021-12-06,Apparel,140.0
2021-12-06,Food,150.0
2021-12-05,Food,25.0
2021-12-05,Apparel,1800.0
2021-12-05,Household,4800.0
2021-12-04,Food,324.0
2021-12-04,Food,65.0
2021-12-04,Other,30.0
2021-12-04,Food,200.0
2021-12-03,Food,25.0
2021-12-03,Apparel,130.0
2021-12-03,Apparel,20.0
2021-12-03,Food,40.0
2021-12-02,Food,504.0
2021-12-02,Food,75.0
2021-12-01,Beauty,196.0
2021-12-01,Food,160.0
2021-11-30,Gift,115.0
2021-11-30,Food,128.0
2021-11-30,Food,70.0
2021-11-29,Food,40.0
2021-11-29,Food,50.0
2021-11-29,Food,40.0
2021-11-29,Food,40.0
2021-11-28,Food,94.0
2021-11-28,Food,269.4
2021-11-27,Food,120.0
2021-11-27,Food,130.0
2021-11-27,Transportation,35.0
2021-11-27,Food,75.0
2021-11-27,Food,30.0
2021-11-26,Food,150.0
2021-11-26,Food,102.0
2021-11-26,Food,40.0
2021-11-26,Food,150.0
2021-11-26,Food,60.0
2021-11-25,Food,145.0
2021-11-25,Transportation,58.0
2021-11-25,Food,95.0
2021-11-24,Food,15.0
2021-11-24,Food,70.0
2021-11-24,Food,20.0
2021-11-24,Transportation,58.0
2021-11-23,Transportation,50.0
2021-11-23,Food,179.0
2021-11-22,Food,90.0
2021-11-22,Food,97.0
2021-11-21,Transportation,130.0
2021-11-21,Food,875.0
